requisito_id,modulo,descripcion,prioridad,estado_implementacion,notas
RF-01,General,"Ventana principal con ttkbootstrap y tema moderno","Alta","implementado","Ventana principal creada en app/main.py con tema 'flatly'"
RF-02,General,"Textos de botones y etiquetas en japonés","Alta","implementado","Interfaz en japonés con ayudas configurables (es/en/none) según settings.help_language"
RF-03,General,"Menú principal con acceso a todos los módulos","Alta","implementado","Menú lateral en ui/main_window.py con todos los modos"
RF-04,General,"Persistencia de progreso del usuario (SQLite/JSON)","Alta","implementado","Almacenamiento JSON operativo para ajustes (settings.json) y progreso (progress.json)"
RF-KA-01,Kana,"Mostrar tabla completa de hiragana y katakana","Alta","implementado","Tablas de hiragana (gojūon + dakuon + yoon) y katakana implementadas en ui/kana_view.py y ui/katakana_view.py"
RF-KA-02,Kana,"Seleccionar conjuntos de kana por filas (あ行, か行, etc.)","Media","implementado","Selector de fila en pestañas de tarjetas de hiragana y katakana (ui/kana_view.py, ui/katakana_view.py)"
RF-KA-03,Kana,"Modo flashcard: mostrar kana grande y responder","Alta","implementado","Tarjetas hiragana/katakana→romaji (incluyendo dakuon y yoon) en ui/kana_view.py y ui/katakana_view.py"
RF-KA-04,Kana,"Calcular acierto/error y guardar fecha de repaso","Alta","implementado","Hiragana y katakana actualizan UserProgress en progress.json mediante app/core/srs.py"
RF-KA-01,Kana,"Mostrar tabla completa de hiragana y katakana","Alta","implementado","Tablas de hiragana (ui/kana_view.py) y katakana (ui/katakana_view.py) implementadas"
RF-KA-03,Kana,"Modo flashcard: mostrar kana grande y responder","Alta","implementado","Tarjetas hiragana→romaji (ui/kana_view.py) y katakana→romaji (ui/katakana_view.py)"
RF-KA-04,Kana,"Calcular acierto/error y guardar fecha de repaso","Alta","implementado","Hiragana y katakana actualizan UserProgress en progress.json mediante app/core/srs.py"
RF-VO-01,Vocabulario,"Cargar vocabulario N5 desde CSV/JSON interna","Alta","implementado","Soporte para vocab_n5.csv (lista ampliable N5) y vocab_n5.json como respaldo; datos básicos incluidos"
RF-VO-02,Vocabulario,"Filtrar vocabulario por tema y estado","Media","implementado","Filtros por etiqueta (tags) y tipo/pos en la pestaña Lista de VocabView"
RF-VO-03,Vocabulario,"Mostrar tarjetas con palabra japonesa, lectura y significado","Alta","implementado","VocabView muestra tarjetas con palabra japonesa, lectura (よみかた) y significado en español"
RF-VO-04,Vocabulario,"Ejercicios de flashcards y elección múltiple","Alta","implementado","Flashcards japonés→es y pestaña de test con elección múltiple implementadas en VocabView"
RF-KA2-01,Kanji,"Cargar lista de kanji con lecturas y ejemplos","Alta","implementado","Fichero app/data/kanji_n5.json ampliado y carga en app/core/kanji_repository.py (conjunto básico de kanji N5)"
RF-KA2-02,Kanji,"Permitir repaso tipo tarjeta de kanji","Alta","implementado","KanjiView implementa tarjetas 漢字→significado con lectura de apoyo"
RF-KA2-03,Kanji,"Integrar progreso de kanji con SRS general","Alta","implementado","KanjiView usa app/core/srs.update_progress_for_item con item_type='kanji'"
RF-GR-01,Gramática,"Listar puntos gramaticales N5","Alta","implementado","grammar_n5.json ampliado con partículas frecuentes y listado en GrammarView"
RF-GR-02,Gramática,"Mostrar descripción simple y ejemplos por punto","Alta","implementado","GrammarView muestra descripción simple en japonés, nota en español y varios ejemplos por punto"
RF-GR-03,Gramática,"Generar ejercicios (≥3 ítems) por punto","Alta","implementado","Ejercicios de partícula basados en ejemplos; integrados con SRS para todos los puntos definidos"
RF-EX-01,Examen,"Iniciar examen simulado desde menú principal","Alta","implementado","Botón 模擬テスト abre ExamView y permite comenzar un examen"
RF-EX-02,Examen,"Seleccionar preguntas aleatorias de un banco","Alta","implementado","ExamView usa generate_exam de app/core/exam_engine.py (mezcla vocab, kanji y gramática)"
RF-EX-03,Examen,"Mostrar resultado total, tiempo y errores","Alta","implementado","Al finalizar se muestra nº aciertos/total, porcentaje, tiempo aproximado y listado de preguntas falladas"
RF-PR-01,Progreso,"Mostrar nº de ítems aprendidos por módulo y global","Media","implementado","ProgressView muestra tabla por tipo (kana, vocab, kanji, grammar) y resumen global de aprendidos"
RF-PR-02,Progreso,"Mostrar historial básico de sesiones","Baja","implementado","Historial de exámenes simulados guardado en sessions.json y mostrado en ProgressView"
RF-VO-05,Vocabulario,"Añadir nuevas palabras N5 desde la aplicación","Media","implementado","Diálogo en VocabView para introducir palabra, lectura, significado, tipo y etiquetas; se guardan en vocab_n5.csv"
RF-GR-04,Gramática,"Añadir nuevos puntos gramaticales desde la aplicación","Media","implementado","Diálogo en GrammarView para crear puntos gramaticales con descripción y ejemplos; se guardan en grammar_n5.json"
RF-FR-01,Frases,"Añadir nuevas frases de ejemplo asociadas a gramática","Baja","implementado","Las frases se añaden como 'examples' al crear nuevos puntos de gramática en GrammarView"
RF-SE-01,Configuración,"Guardar tema visual, idioma de ayuda y dificultad","Media","implementado","SettingsView permite cambiar tema, idioma de ayuda y dificultad; se aplican al tema de la app, textos de ayuda y nº de preguntas del examen"
RF-KA2-04,Kanji,"Añadir nuevos kanji desde la aplicación","Media","implementado","Diálogo en KanjiView para crear nuevos kanji con lecturas, significados y ejemplos; se guardan en kanji_n5.json"
